timestamp_sec_floor,timestamp,/electrical/temp_sensors/in.inlet_temp,/electrical/temp_sensors/out.outlet_temp
1761090075,10/21/25 | 07:41:15 PM,,19.510000228881836
1761090077,10/21/25 | 07:41:17 PM,,19.494999885559082
1761090078,10/21/25 | 07:41:18 PM,,19.59000015258789
1761090079,10/21/25 | 07:41:19 PM,,19.440000534057617
1761090080,10/21/25 | 07:41:20 PM,,19.440000534057617
1761090081,10/21/25 | 07:41:21 PM,,19.639999389648438
1761090082,10/21/25 | 07:41:22 PM,,19.639999389648438
1761090083,10/21/25 | 07:41:23 PM,,19.729999542236328
1761090085,10/21/25 | 07:41:25 PM,,19.18000030517578
1761090086,10/21/25 | 07:41:26 PM,,19.3799991607666
1761090087,10/21/25 | 07:41:27 PM,,19.574999809265137
1761090088,10/21/25 | 07:41:28 PM,,18.959999084472656
1761090090,10/21/25 | 07:41:30 PM,,17.030000686645508
1761090091,10/21/25 | 07:41:31 PM,,21.005000114440918
1761090092,10/21/25 | 07:41:32 PM,,19.790000915527344
1761090094,10/21/25 | 07:41:34 PM,,19.510000228881836
1761090095,10/21/25 | 07:41:35 PM,,21.170000076293945
1761090096,10/21/25 | 07:41:36 PM,,19.485000610351562
1761090097,10/21/25 | 07:41:37 PM,,19.700000762939453
1761090098,10/21/25 | 07:41:38 PM,,19.200000762939453
1761090099,10/21/25 | 07:41:39 PM,,18.889999389648438
1761090100,10/21/25 | 07:41:40 PM,,19.030000686645508
1761090101,10/21/25 | 07:41:41 PM,,19.329999923706055
1761090102,10/21/25 | 07:41:42 PM,,19.700000762939453
1761090103,10/21/25 | 07:41:43 PM,,20.030000686645508
1761090104,10/21/25 | 07:41:44 PM,,19.329999923706055
1761090105,10/21/25 | 07:41:45 PM,,20.360000610351562
1761090106,10/21/25 | 07:41:46 PM,,19.530000686645508
1761090107,10/21/25 | 07:41:47 PM,,19.3799991607666
1761090108,10/21/25 | 07:41:48 PM,,19.489999771118164
1761090109,10/21/25 | 07:41:49 PM,,19.729999542236328
1761090110,10/21/25 | 07:41:50 PM,,19.920000076293945
1761090111,10/21/25 | 07:41:51 PM,,19.75
1761090112,10/21/25 | 07:41:52 PM,,17.079999923706055
1761090113,10/21/25 | 07:41:53 PM,,21.079999923706055
1761090114,10/21/25 | 07:41:54 PM,,19.68000030517578
1761090115,10/21/25 | 07:41:55 PM,,20.780000686645508
1761090116,10/21/25 | 07:41:56 PM,,19.329999923706055
1761090117,10/21/25 | 07:41:57 PM,,19.459999084472656
1761090118,10/21/25 | 07:41:58 PM,,19.139999389648438
1761090119,10/21/25 | 07:41:59 PM,,21.0
1761090120,10/21/25 | 07:42:00 PM,,17.25
1761090121,10/21/25 | 07:42:01 PM,,20.81999969482422
1761090122,10/21/25 | 07:42:02 PM,,21.31999969482422
1761090123,10/21/25 | 07:42:03 PM,,19.6200008392334
1761090124,10/21/25 | 07:42:04 PM,,19.8799991607666
1761090125,10/21/25 | 07:42:05 PM,,19.729999542236328
